datetime,year,month,day,hour,minute,chamber,rs,rsgf,tsoil,tsoilgf
2023-10-06T00:35:00,2023,10,6,0,35,2,0.612963819,0.612963819,16.28666667,16.28666667
2023-10-06T00:40:00,2023,10,6,0,40,3,0.913652358,0.913652358,16.28133333,16.28133333
2023-10-06T00:45:00,2023,10,6,0,45,4,0.448276549,0.448276549,16.279,16.279
2023-10-06T00:50:00,2023,10,6,0,50,5,0.662297847,0.662297847,16.27266667,16.27266667
2023-10-06T00:55:00,2023,10,6,0,55,6,0.702535257,0.702535257,16.26766667,16.26766667
2023-10-06T01:00:00,2023,10,6,1,0,1,0.866331309,0.866331309,16.26366667,16.26366667
2023-10-06T01:05:00,2023,10,6,1,5,2,0.531845162,0.531845162,16.261,16.261
2023-10-06T01:10:00,2023,10,6,1,10,3,1.050141395,1.050141395,16.25266667,16.25266667
2023-10-06T01:15:00,2023,10,6,1,15,4,0.381518529,0.381518529,16.24833333,16.24833333
2023-10-06T01:20:00,2023,10,6,1,20,5,0.714265423,0.714265423,16.24766667,16.24766667
